 -------------------------------- ---------- ------------------------------------------ 
  Name                             Method     Path                                      
 -------------------------------- ---------- ------------------------------------------ 
  _preview_error                   ANY        /_error/{code}.{_format}                  
  accueil                          ANY        /                                         
  api_geocodage_adresse            GET        /api/geocodage/adresse                    
  connexion                        GET|POST   /connexion                                
  deconnexion                      POST|GET   /deconnexion                              
  contact                          GET        /contact                                  
  credits                          GET        /credits                                  
  details                          GET        /details                                  
  espace_employe                   GET        /espace-employe                           
  espace_employe_avis_valider      POST       /espace-employe/avis/valider              
  espace_employe_avis_refuser      POST       /espace-employe/avis/refuser              
  espace_employe_incident_traite   POST       /espace-employe/incident/traite           
  espace_employe_incident_detail   GET        /espace-employe/incident/{idCovoiturage}  
  espace_employe_avis_detail       GET        /espace-employe/avis/{idAvis}             
  gerer_roles                      GET|POST   /tableau-de-bord/roles                    
  gerer_vehicules                  GET        /espace/vehicules                         
  vehicule_supprimer               POST       /espace/vehicules/{idVoiture}/supprimer   
  vehicule_ajouter                 GET        /espace/vehicules/ajouter                 
  vehicule_ajouter_traitement      POST       /espace/vehicules/ajouter                 
  vehicule_modifier                GET        /espace/vehicules/{idVoiture}/modifier    
  vehicule_modifier_traitement     POST       /espace/vehicules/{idVoiture}/modifier    
  historique                       GET        /historique                               
  incident_formulaire              GET        /historique/incident/{id}                 
  satisfaction_formulaire          GET        /historique/satisfaction/{id}             
  annuler_participation            POST       /historique/annuler-participation         
  enregistrer_satisfaction         POST       /historique/enregistrer-satisfaction      
  annuler_covoiturage              POST       /historique/annuler-covoiturage           
  demarrer_covoiturage             POST       /historique/demarrer-covoiturage          
  terminer_covoiturage             POST       /historique/terminer-covoiturage          
  declarer_incident                POST       /historique/declarer-incident             
  inscription                      GET|POST   /inscription                              
  mentions_legales                 ANY        /mentions-legales                         
  mot_de_passe_oublie              GET        /mot_de_passe_oublie                      
  participer_covoiturage           POST       /participer/{id}                          
  profil                           GET|POST   /profil                                   
  publier_covoiturage              GET|POST   /publier                                  
  recherche                        ANY        /recherche                                
  resultats                        GET        /resultats                                
  tableau_de_bord                  GET        /tableau-de-bord                          
  test_mail                        GET        /test-mail                                
 -------------------------------- ---------- ------------------------------------------ 

